type, size, range, name, total_value, total_weight, duration, isOptimal
00Uncorrelated, n10000, R10000, s000.kp, 40500261, 24765111, 0.0017971992492675781, True
00Uncorrelated, n10000, R10000, s001.kp, 40289356, 24837547, 0.00249481201171875, True
01WeaklyCorrelated, n00050, R01000, s000.kp, 15768, 14232, 0.00026226043701171875, True
01WeaklyCorrelated, n00050, R01000, s001.kp, 13214, 11791, 9.059906005859375e-05, True
01WeaklyCorrelated, n00050, R10000, s000.kp, 157504, 142272, 0.0003268718719482422, True
01WeaklyCorrelated, n00050, R10000, s001.kp, 131925, 117805, 0.00022149085998535156, True
01WeaklyCorrelated, n00100, R01000, s000.kp, 31064, 29013, 0.00019502639770507812, True
01WeaklyCorrelated, n00100, R01000, s001.kp, 27624, 25389, 1.52587890625e-05, True
01WeaklyCorrelated, n00100, R10000, s000.kp, 310315, 289895, 0.0004723072052001953, True
01WeaklyCorrelated, n00100, R10000, s001.kp, 275879, 253639, 1.9550323486328125e-05, True
01WeaklyCorrelated, n00200, R01000, s000.kp, 56976, 51563, 0.00022840499877929688, True
01WeaklyCorrelated, n00200, R01000, s001.kp, 53514, 48102, 0.0007436275482177734, True
01WeaklyCorrelated, n00200, R10000, s000.kp, 569063, 515196, 0.0009264945983886719, True
01WeaklyCorrelated, n00200, R10000, s001.kp, 534452, 480606, 0.0004405975341796875, True
01WeaklyCorrelated, n00500, R01000, s000.kp, 139258, 127276, 0.0009150505065917969, True
01WeaklyCorrelated, n00500, R01000, s001.kp, 138098, 123764, 0.0019600391387939453, True
01WeaklyCorrelated, n00500, R10000, s000.kp, 1390993, 1271685, 0.012078523635864258, True
01WeaklyCorrelated, n00500, R10000, s001.kp, 1379237, 1236468, 0.005218982696533203, True
01WeaklyCorrelated, n01000, R01000, s000.kp, 273052, 245972, 0.002696990966796875, True
01WeaklyCorrelated, n01000, R01000, s001.kp, 279824, 254777, 8.606910705566406e-05, True
01WeaklyCorrelated, n01000, R10000, s000.kp, 2727089, 2457528, 0.0008196830749511719, True
01WeaklyCorrelated, n01000, R10000, s001.kp, 2794566, 2545474, 0.014526128768920898, True
01WeaklyCorrelated, n02000, R01000, s000.kp, 552506, 498452, 0.000888824462890625, True
01WeaklyCorrelated, n02000, R01000, s001.kp, 550884, 497846, 0.0027060508728027344, True
01WeaklyCorrelated, n02000, R10000, s000.kp, 5518106, 4980107, 0.0004315376281738281, True
01WeaklyCorrelated, n02000, R10000, s001.kp, 5501823, 4973899, 0.001756906509399414, True
01WeaklyCorrelated, n05000, R01000, s000.kp, 1378225, 1249257, 0.0017597675323486328, True
01WeaklyCorrelated, n05000, R01000, s001.kp, 1369664, 1240984, 3.266334533691406e-05, True
01WeaklyCorrelated, n05000, R10000, s000.kp, 13765053, 12481621, 0.2045602798461914, True
01WeaklyCorrelated, n05000, R10000, s001.kp, 13679207, 12398687, 0.02917313575744629, True
01WeaklyCorrelated, n10000, R01000, s000.kp, 2743167, 2480964, 0.3614695072174072, True
01WeaklyCorrelated, n10000, R01000, s001.kp, 2729934, 2467916, 1.7359271049499512, True
01WeaklyCorrelated, n10000, R10000, s000.kp, 27397375, 24787545, 0.0012462139129638672, True
01WeaklyCorrelated, n10000, R10000, s001.kp, 27264641, 24656800, 0.0446016788482666, True
02StronglyCorrelated, n00050, R01000, s000.kp, 17539, 14239, 0.016335487365722656, True
02StronglyCorrelated, n00050, R01000, s001.kp, 15293, 11793, 0.17780661582946777, True
02StronglyCorrelated, n00050, R10000, s000.kp, 175283, 142283, 0.03019237518310547, True
02StronglyCorrelated, n00050, R10000, s001.kp, 152821, 117821, 0.2220170497894287, True
02StronglyCorrelated, n00100, R01000, s000.kp, 35617, 29017, 0.10892844200134277, True
02StronglyCorrelated, n00100, R01000, s001.kp, 32291, 25391, 1.2513363361358643, True
02StronglyCorrelated, n00100, R10000, s000.kp, 355961, 289961, 0.19201946258544922, True
02StronglyCorrelated, n00100, R10000, s001.kp, 322672, 253672, 2.4188921451568604, True
02StronglyCorrelated, n00200, R01000, s000.kp, 65363, 51563, 29.964144945144653, False
02StronglyCorrelated, n00200, R01000, s001.kp, 62206, 48106, 19.762938022613525, True
02StronglyCorrelated, n00200, R10000, s000.kp, 653200, 515200, 29.610384225845337, False
02StronglyCorrelated, n00200, R10000, s001.kp, 621612, 480612, 29.626267433166504, False
02StronglyCorrelated, n00500, R01000, s000.kp, 162178, 127278, 29.69099521636963, False
02StronglyCorrelated, n00500, R01000, s001.kp, 158877, 123577, 29.341834783554077, False
02StronglyCorrelated, n00500, R10000, s000.kp, 1620685, 1271685, 29.391363859176636, False
02StronglyCorrelated, n00500, R10000, s001.kp, 1587008, 1234008, 29.539456367492676, False
02StronglyCorrelated, n01000, R01000, s000.kp, 316372, 245972, 29.617538690567017, False
02StronglyCorrelated, n01000, R01000, s001.kp, 324571, 254771, 29.389888286590576, False
02StronglyCorrelated, n01000, R10000, s000.kp, 3160857, 2456857, 29.383760452270508, False
02StronglyCorrelated, n01000, R10000, s001.kp, 3241827, 2543827, 29.535848140716553, False
02StronglyCorrelated, n02000, R01000, s000.kp, 638526, 498026, 29.55683445930481, False
02StronglyCorrelated, n02000, R01000, s001.kp, 637871, 497371, 29.74429988861084, False
02StronglyCorrelated, n02000, R10000, s000.kp, 6380490, 4975490, 29.76952624320984, False
02StronglyCorrelated, n02000, R10000, s001.kp, 6379901, 4973901, 29.798739910125732, False
02StronglyCorrelated, n05000, R01000, s000.kp, 1599288, 1248688, 29.26713275909424, False
02StronglyCorrelated, n05000, R01000, s001.kp, 1593124, 1240724, 29.830108642578125, False
02StronglyCorrelated, n05000, R10000, s000.kp, 15985084, 12478084, 29.748056650161743, False
02StronglyCorrelated, n05000, R10000, s001.kp, 15923689, 12398689, 29.788488388061523, False
02StronglyCorrelated, n10000, R01000, s000.kp, 3182769, 2480569, 29.11902141571045, False
02StronglyCorrelated, n10000, R01000, s001.kp, 3172791, 2467491, 29.56606101989746, False
02StronglyCorrelated, n10000, R10000, s000.kp, 31804383, 24781383, 29.574602127075195, False
02StronglyCorrelated, n10000, R10000, s001.kp, 31705587, 24651587, 29.584260940551758, False
03InverseStronglyCorrelated, n00050, R01000, s000.kp, 14914, 16714, 1.2577993869781494, True
03InverseStronglyCorrelated, n00050, R01000, s001.kp, 12691, 14191, 0.04387855529785156, True
03InverseStronglyCorrelated, n00050, R10000, s000.kp, 149036, 167036, 1.7686223983764648, True
03InverseStronglyCorrelated, n00050, R10000, s001.kp, 126841, 141841, 0.04114341735839844, True
03InverseStronglyCorrelated, n00100, R01000, s000.kp, 30468, 33968, 0.001283884048461914, True
03InverseStronglyCorrelated, n00100, R01000, s001.kp, 27042, 30342, 29.999844312667847, False
03InverseStronglyCorrelated, n00100, R10000, s000.kp, 304466, 339466, 0.0012423992156982422, True
03InverseStronglyCorrelated, n00100, R10000, s001.kp, 270177, 303177, 29.999810218811035, False
03InverseStronglyCorrelated, n00200, R01000, s000.kp, 54964, 61464, 0.009919404983520508, True
03InverseStronglyCorrelated, n00200, R01000, s001.kp, 51707, 58007, 29.99919295310974, False
03InverseStronglyCorrelated, n00200, R10000, s000.kp, 549209, 614209, 0.01835942268371582, True
03InverseStronglyCorrelated, n00200, R10000, s001.kp, 516622, 579622, 29.999131441116333, False
03InverseStronglyCorrelated, n00500, R01000, s000.kp, 136031, 152031, 29.749290466308594, False
03InverseStronglyCorrelated, n00500, R01000, s001.kp, 132916, 148516, 29.09178376197815, False
03InverseStronglyCorrelated, n00500, R10000, s000.kp, 1356100, 1515100, 28.966145753860474, True
03InverseStronglyCorrelated, n00500, R10000, s001.kp, 1328002, 1484002, 29.549928188323975, False
03InverseStronglyCorrelated, n01000, R01000, s000.kp, 263977, 295477, 29.441417455673218, False
03InverseStronglyCorrelated, n01000, R01000, s001.kp, 272157, 304057, 28.839473724365234, True
03InverseStronglyCorrelated, n01000, R10000, s000.kp, 2632946, 2946946, 29.515846490859985, False
03InverseStronglyCorrelated, n01000, R10000, s001.kp, 2720104, 3039104, 29.398874282836914, False
03InverseStronglyCorrelated, n02000, R01000, s000.kp, 534014, 597114, 29.570809364318848, False
03InverseStronglyCorrelated, n02000, R01000, s001.kp, 533259, 596359, 29.660459280014038, False
03InverseStronglyCorrelated, n02000, R10000, s000.kp, 5337264, 5968264, 29.602296113967896, False
03InverseStronglyCorrelated, n02000, R10000, s001.kp, 5329708, 5960708, 29.703811168670654, False
03InverseStronglyCorrelated, n05000, R01000, s000.kp, 1338091, 1496591, 29.65760111808777, False
03InverseStronglyCorrelated, n05000, R01000, s001.kp, 1330963, 1487863, 29.812597036361694, False
03InverseStronglyCorrelated, n05000, R10000, s000.kp, 13367080, 14951080, 29.62260413169861, False
03InverseStronglyCorrelated, n05000, R10000, s001.kp, 13302594, 14871594, 29.732369899749756, False
03InverseStronglyCorrelated, n10000, R01000, s000.kp, 2659258, 2975558, 29.672743797302246, False
03InverseStronglyCorrelated, n10000, R01000, s001.kp, 2648730, 2962330, 29.733365058898926, False
03InverseStronglyCorrelated, n10000, R10000, s000.kp, 26571681, 29733681, 29.61630392074585, False
03InverseStronglyCorrelated, n10000, R10000, s001.kp, 26466328, 29601328, 29.75767159461975, False
04AlmostStronglyCorrelated, n00050, R01000, s000.kp, 17556, 14238, 0.07248806953430176, True
04AlmostStronglyCorrelated, n00050, R01000, s001.kp, 15308, 11792, 0.09723711013793945, True
04AlmostStronglyCorrelated, n00050, R10000, s000.kp, 175434, 142280, 0.015782833099365234, True
04AlmostStronglyCorrelated, n00050, R10000, s001.kp, 152979, 117814, 0.13575530052185059, True
04AlmostStronglyCorrelated, n00100, R01000, s000.kp, 35611, 29016, 0.038428544998168945, True
04AlmostStronglyCorrelated, n00100, R01000, s001.kp, 32284, 25391, 0.29152798652648926, True
04AlmostStronglyCorrelated, n00100, R10000, s000.kp, 355902, 289960, 0.06750321388244629, True
04AlmostStronglyCorrelated, n00100, R10000, s001.kp, 322602, 253672, 0.883143424987793, True
04AlmostStronglyCorrelated, n00200, R01000, s000.kp, 65385, 51563, 29.988821268081665, False
04AlmostStronglyCorrelated, n00200, R01000, s001.kp, 62209, 48106, 1.032062292098999, True
04AlmostStronglyCorrelated, n00200, R10000, s000.kp, 653363, 515198, 29.978593349456787, False
04AlmostStronglyCorrelated, n00200, R10000, s001.kp, 621620, 480609, 4.652818441390991, True
04AlmostStronglyCorrelated, n00500, R01000, s000.kp, 162154, 127278, 29.954840183258057, False
04AlmostStronglyCorrelated, n00500, R01000, s001.kp, 159038, 123669, 29.575454235076904, False
04AlmostStronglyCorrelated, n00500, R10000, s000.kp, 1620455, 1271683, 29.40482473373413, False
04AlmostStronglyCorrelated, n00500, R10000, s001.kp, 1588007, 1234373, 29.653653621673584, False
04AlmostStronglyCorrelated, n01000, R01000, s000.kp, 316415, 245972, 0.19469618797302246, True
04AlmostStronglyCorrelated, n01000, R01000, s001.kp, 324609, 254777, 28.151657819747925, True
04AlmostStronglyCorrelated, n01000, R10000, s000.kp, 3161907, 2457531, 29.59953498840332, False
04AlmostStronglyCorrelated, n01000, R10000, s001.kp, 3243265, 2545094, 29.510876893997192, False
04AlmostStronglyCorrelated, n02000, R01000, s000.kp, 638761, 498192, 29.549757957458496, False
04AlmostStronglyCorrelated, n02000, R01000, s001.kp, 638052, 497524, 29.692615032196045, False
04AlmostStronglyCorrelated, n02000, R10000, s000.kp, 6380692, 4975161, 29.727867603302002, False
04AlmostStronglyCorrelated, n02000, R10000, s001.kp, 6379895, 4973901, 0.0022842884063720703, True
04AlmostStronglyCorrelated, n05000, R01000, s000.kp, 1599762, 1249043, 29.89814281463623, False
04AlmostStronglyCorrelated, n05000, R01000, s001.kp, 1593407, 1240984, 29.717567682266235, False
04AlmostStronglyCorrelated, n05000, R10000, s000.kp, 15988095, 12480567, 29.460651874542236, False
04AlmostStronglyCorrelated, n05000, R10000, s001.kp, 15917349, 12393233, 29.68443489074707, False
04AlmostStronglyCorrelated, n10000, R01000, s000.kp, 3183259, 2480960, 29.54013466835022, False
04AlmostStronglyCorrelated, n10000, R01000, s001.kp, 3172869, 2467461, 29.57735562324524, False
04AlmostStronglyCorrelated, n10000, R10000, s000.kp, 31809578, 24785276, 29.568469524383545, False
04AlmostStronglyCorrelated, n10000, R10000, s001.kp, 31710115, 24654567, 29.543549060821533, False
05SubsetSum, n00050, R01000, s000.kp, 14239, 14239, 9.72747802734375e-05, True
05SubsetSum, n00050, R01000, s001.kp, 11793, 11793, 3.218650817871094e-05, True
05SubsetSum, n00050, R10000, s000.kp, 142283, 142283, 5.2928924560546875e-05, True
05SubsetSum, n00050, R10000, s001.kp, 117821, 117821, 0.0009281635284423828, True
05SubsetSum, n00100, R01000, s000.kp, 29017, 29017, 1.9311904907226562e-05, True
05SubsetSum, n00100, R01000, s001.kp, 25391, 25391, 4.6253204345703125e-05, True
05SubsetSum, n00100, R10000, s000.kp, 289961, 289961, 0.0024213790893554688, True
05SubsetSum, n00100, R10000, s001.kp, 253672, 253672, 0.00013780593872070312, True
05SubsetSum, n00200, R01000, s000.kp, 51563, 51563, 3.4809112548828125e-05, True
05SubsetSum, n00200, R01000, s001.kp, 48106, 48106, 8.559226989746094e-05, True
05SubsetSum, n00200, R10000, s000.kp, 515200, 515200, 9.512901306152344e-05, True
05SubsetSum, n00200, R10000, s001.kp, 480612, 480612, 0.0006124973297119141, True
05SubsetSum, n00500, R01000, s000.kp, 127278, 127278, 0.0001590251922607422, True
05SubsetSum, n00500, R01000, s001.kp, 123764, 123764, 0.0002148151397705078, True
05SubsetSum, n00500, R10000, s000.kp, 1271685, 1271685, 0.004484415054321289, True
05SubsetSum, n00500, R10000, s001.kp, 1236477, 1236477, 0.0034635066986083984, True
05SubsetSum, n01000, R01000, s000.kp, 245972, 245972, 0.0005774497985839844, True
05SubsetSum, n01000, R01000, s001.kp, 254777, 254777, 0.00026106834411621094, True
05SubsetSum, n01000, R10000, s000.kp, 2457533, 2457533, 0.0007293224334716797, True
05SubsetSum, n01000, R10000, s001.kp, 2545476, 2545476, 0.003918170928955078, True
05SubsetSum, n02000, R01000, s000.kp, 498452, 498452, 0.0015952587127685547, True
05SubsetSum, n02000, R01000, s001.kp, 497847, 497847, 0.0004839897155761719, True
05SubsetSum, n02000, R10000, s000.kp, 4980108, 4980108, 0.0014204978942871094, True
05SubsetSum, n02000, R10000, s001.kp, 4973901, 4973901, 0.014361143112182617, True
05SubsetSum, n05000, R01000, s000.kp, 1249257, 1249257, 0.002819061279296875, True
05SubsetSum, n05000, R01000, s001.kp, 1240984, 1240984, 0.0010385513305664062, True
05SubsetSum, n05000, R10000, s000.kp, 12481621, 12481621, 0.007788181304931641, True
05SubsetSum, n05000, R10000, s001.kp, 12398689, 12398689, 0.035523176193237305, True
05SubsetSum, n10000, R01000, s000.kp, 2480964, 2480964, 0.004281044006347656, True
05SubsetSum, n10000, R01000, s001.kp, 2467916, 2467916, 0.00475311279296875, True
05SubsetSum, n10000, R10000, s000.kp, 24787545, 24787545, 0.03370261192321777, True
05SubsetSum, n10000, R10000, s001.kp, 24656800, 24656800, 0.015909671783447266, True
06UncorrelatedWithSimilarWeights, n00050, R01000, s000.kp, 19676, 2401482, 0.034926652908325195, True
06UncorrelatedWithSimilarWeights, n00050, R01000, s001.kp, 17920, 2401186, 0.010230302810668945, True
06UncorrelatedWithSimilarWeights, n00050, R10000, s000.kp, 19676, 2401482, 0.03476905822753906, True
06UncorrelatedWithSimilarWeights, n00050, R10000, s001.kp, 17920, 2401186, 0.010116338729858398, True
06UncorrelatedWithSimilarWeights, n00100, R01000, s000.kp, 39791, 4902253, 5.655605792999268, True
06UncorrelatedWithSimilarWeights, n00100, R01000, s001.kp, 37000, 4902351, 1.8606054782867432, True
06UncorrelatedWithSimilarWeights, n00100, R10000, s000.kp, 39791, 4902253, 5.565881729125977, True
06UncorrelatedWithSimilarWeights, n00100, R10000, s001.kp, 37000, 4902351, 1.9633045196533203, True
06UncorrelatedWithSimilarWeights, n00200, R01000, s000.kp, 75678, 9904900, 1.3113021850585938e-05, True
06UncorrelatedWithSimilarWeights, n00200, R01000, s001.kp, 72399, 9904984, 4.291534423828125e-06, True
06UncorrelatedWithSimilarWeights, n00200, R10000, s000.kp, 75678, 9904900, 3.0994415283203125e-06, True
06UncorrelatedWithSimilarWeights, n00200, R10000, s001.kp, 72399, 9904984, 2.384185791015625e-06, True
06UncorrelatedWithSimilarWeights, n00500, R01000, s000.kp, 189769, 24712055, 29.999256372451782, False
06UncorrelatedWithSimilarWeights, n00500, R01000, s001.kp, 187312, 24712830, 29.52610731124878, False
06UncorrelatedWithSimilarWeights, n00500, R10000, s000.kp, 189769, 24712055, 29.45159602165222, False
06UncorrelatedWithSimilarWeights, n00500, R10000, s001.kp, 187312, 24712830, 29.536140203475952, False
06UncorrelatedWithSimilarWeights, n01000, R01000, s000.kp, 371246, 49525319, 0.044571638107299805, True
06UncorrelatedWithSimilarWeights, n01000, R01000, s001.kp, 379545, 49523374, 2.4525341987609863, True
06UncorrelatedWithSimilarWeights, n01000, R10000, s000.kp, 371246, 49525319, 0.0446164608001709, True
06UncorrelatedWithSimilarWeights, n01000, R10000, s001.kp, 379545, 49523374, 2.4052209854125977, True
06UncorrelatedWithSimilarWeights, n02000, R01000, s000.kp, 748457, 99050305, 29.934747219085693, False
06UncorrelatedWithSimilarWeights, n02000, R01000, s001.kp, 746520, 99050111, 29.307628393173218, False
06UncorrelatedWithSimilarWeights, n02000, R10000, s000.kp, 748457, 99050305, 29.23163652420044, False
06UncorrelatedWithSimilarWeights, n02000, R10000, s001.kp, 746520, 99050111, 29.317134141921997, False
06UncorrelatedWithSimilarWeights, n05000, R01000, s000.kp, 1872056, 247621933, 29.183015823364258, False
06UncorrelatedWithSimilarWeights, n05000, R01000, s001.kp, 1871193, 247621955, 29.65319514274597, False
06UncorrelatedWithSimilarWeights, n05000, R10000, s000.kp, 1872056, 247621933, 29.632447719573975, False
06UncorrelatedWithSimilarWeights, n05000, R10000, s001.kp, 1871193, 247621955, 29.64493155479431, False
06UncorrelatedWithSimilarWeights, n10000, R01000, s000.kp, 3724841, 495247236, 29.431291341781616, False
06UncorrelatedWithSimilarWeights, n10000, R01000, s001.kp, 3726126, 495248247, 29.63264298439026, False
06UncorrelatedWithSimilarWeights, n10000, R10000, s000.kp, 3724841, 495247236, 29.635090827941895, False
06UncorrelatedWithSimilarWeights, n10000, R10000, s001.kp, 3726126, 495248247, 29.63878107070923, False
07SpannerUncorrelated, n00050, R01000, s000.kp, 13472, 4569, 0.047585248947143555, True
07SpannerUncorrelated, n00050, R01000, s001.kp, 11948, 6578, 1.6189157962799072, True
07SpannerUncorrelated, n00050, R10000, s000.kp, 135733, 46295, 0.03740692138671875, True
07SpannerUncorrelated, n00050, R10000, s001.kp, 119572, 66112, 1.623720407485962, True
07SpannerUncorrelated, n00100, R01000, s000.kp, 24228, 8748, 29.9667866230011, False
07SpannerUncorrelated, n00100, R01000, s001.kp, 22147, 11914, 29.185009717941284, False
07SpannerUncorrelated, n00100, R10000, s000.kp, 243893, 88483, 29.044868230819702, False
07SpannerUncorrelated, n00100, R10000, s001.kp, 221632, 119739, 29.05965566635132, False
07SpannerUncorrelated, n00200, R01000, s000.kp, 47836, 17274, 28.147637367248535, True
07SpannerUncorrelated, n00200, R01000, s001.kp, 43417, 25921, 28.60681939125061, True
07SpannerUncorrelated, n00200, R10000, s000.kp, 482118, 174792, 28.251929759979248, True
07SpannerUncorrelated, n00200, R10000, s001.kp, 434566, 260535, 28.318673133850098, True
07SpannerUncorrelated, n00500, R01000, s000.kp, 114616, 42898, 28.30023169517517, True
07SpannerUncorrelated, n00500, R01000, s001.kp, 119279, 63365, 29.10071849822998, False
07SpannerUncorrelated, n00500, R10000, s000.kp, 1155011, 433675, 28.746066331863403, True
07SpannerUncorrelated, n00500, R10000, s001.kp, 1193638, 636829, 28.85092806816101, True
07SpannerUncorrelated, n01000, R01000, s000.kp, 228624, 84656, 28.78307342529297, True
07SpannerUncorrelated, n01000, R01000, s001.kp, 232145, 120497, 29.438559770584106, False
07SpannerUncorrelated, n01000, R10000, s000.kp, 2304627, 856119, 29.0366792678833, False
07SpannerUncorrelated, n01000, R10000, s001.kp, 2323136, 1211685, 29.036726236343384, False
07SpannerUncorrelated, n02000, R01000, s000.kp, 459560, 168004, 29.0298752784729, False
07SpannerUncorrelated, n02000, R01000, s001.kp, 443575, 254104, 29.636911153793335, False
07SpannerUncorrelated, n02000, R10000, s000.kp, 4631744, 1699321, 29.561718702316284, False
07SpannerUncorrelated, n02000, R10000, s001.kp, 4439590, 2554641, 29.36800718307495, False
07SpannerUncorrelated, n05000, R01000, s000.kp, 1131684, 413019, 29.386167764663696, False
07SpannerUncorrelated, n05000, R01000, s001.kp, 1097022, 633696, 29.7582745552063, False
07SpannerUncorrelated, n05000, R10000, s000.kp, 11405485, 4177982, 29.653766870498657, False
07SpannerUncorrelated, n05000, R10000, s001.kp, 10979942, 6371272, 29.724092960357666, False
07SpannerUncorrelated, n10000, R01000, s000.kp, 2283100, 834925, 29.44452214241028, False
07SpannerUncorrelated, n10000, R01000, s001.kp, 2243617, 1253155, 29.602096796035767, False
07SpannerUncorrelated, n10000, R10000, s000.kp, 23010195, 8445345, 29.558592081069946, False
07SpannerUncorrelated, n10000, R10000, s001.kp, 22454848, 12599805, 29.59650754928589, False
08SpannerWeaklyCorrelated, n00050, R01000, s000.kp, 10354, 11452, 1.3675951957702637, True
08SpannerWeaklyCorrelated, n00050, R01000, s001.kp, 15276, 6437, 0.8730409145355225, True
08SpannerWeaklyCorrelated, n00050, R10000, s000.kp, 102774, 115687, 1.3056998252868652, True
08SpannerWeaklyCorrelated, n00050, R10000, s001.kp, 151837, 64660, 0.8742671012878418, True
08SpannerWeaklyCorrelated, n00100, R01000, s000.kp, 20550, 20824, 0.01931929588317871, True
08SpannerWeaklyCorrelated, n00100, R01000, s001.kp, 27478, 11951, 30.01384687423706, False
08SpannerWeaklyCorrelated, n00100, R10000, s000.kp, 203856, 210158, 1.0400261878967285, True
08SpannerWeaklyCorrelated, n00100, R10000, s001.kp, 273086, 120026, 29.999284029006958, False
08SpannerWeaklyCorrelated, n00200, R01000, s000.kp, 40575, 41116, 13.48827862739563, True
08SpannerWeaklyCorrelated, n00200, R01000, s001.kp, 60080, 23770, 29.45326018333435, False
08SpannerWeaklyCorrelated, n00200, R10000, s000.kp, 403248, 415714, 28.119162797927856, True
08SpannerWeaklyCorrelated, n00200, R10000, s001.kp, 596858, 238094, 29.122682094573975, False
08SpannerWeaklyCorrelated, n00500, R01000, s000.kp, 98713, 100076, 28.097725868225098, True
08SpannerWeaklyCorrelated, n00500, R01000, s001.kp, 145888, 64611, 28.776379585266113, True
08SpannerWeaklyCorrelated, n00500, R10000, s000.kp, 981336, 1011673, 28.612040996551514, True
08SpannerWeaklyCorrelated, n00500, R10000, s001.kp, 1448877, 647292, 28.778440952301025, True
08SpannerWeaklyCorrelated, n01000, R01000, s000.kp, 196050, 198664, 28.605896711349487, True
08SpannerWeaklyCorrelated, n01000, R01000, s001.kp, 277084, 125478, 29.2026264667511, False
08SpannerWeaklyCorrelated, n01000, R10000, s000.kp, 1948536, 2008773, 29.063655138015747, False
08SpannerWeaklyCorrelated, n01000, R10000, s001.kp, 2751952, 1257598, 29.186811923980713, False
08SpannerWeaklyCorrelated, n02000, R01000, s000.kp, 391950, 397176, 29.06376814842224, False
08SpannerWeaklyCorrelated, n02000, R01000, s001.kp, 587212, 241874, 29.474939107894897, False
08SpannerWeaklyCorrelated, n02000, R10000, s000.kp, 3895584, 4016012, 29.361642122268677, False
08SpannerWeaklyCorrelated, n02000, R10000, s001.kp, 5833980, 2424582, 29.46661949157715, False
08SpannerWeaklyCorrelated, n05000, R01000, s000.kp, 964500, 977360, 29.325145721435547, False
08SpannerWeaklyCorrelated, n05000, R01000, s001.kp, 1464912, 598674, 29.64244842529297, False
08SpannerWeaklyCorrelated, n05000, R10000, s000.kp, 9585696, 9882028, 29.631280183792114, False
08SpannerWeaklyCorrelated, n05000, R10000, s001.kp, 14554158, 6000972, 29.65464472770691, False
08SpannerWeaklyCorrelated, n10000, R01000, s000.kp, 1947450, 1973416, 29.464311122894287, False
08SpannerWeaklyCorrelated, n10000, R01000, s001.kp, 2892210, 1220685, 29.527361631393433, False
08SpannerWeaklyCorrelated, n10000, R10000, s000.kp, 19355598, 19954194, 29.609328985214233, False
08SpannerWeaklyCorrelated, n10000, R10000, s001.kp, 28730898, 12234006, 29.5317964553833, False
09SpannerStronglyCorrelated, n00050, R01000, s000.kp, 28440, 11540, 29.90757417678833, False
09SpannerStronglyCorrelated, n00050, R01000, s001.kp, 27261, 6461, 1.3073256015777588, True
09SpannerStronglyCorrelated, n00050, R10000, s000.kp, 285753, 116753, 29.980292797088623, False
09SpannerStronglyCorrelated, n00050, R10000, s001.kp, 272904, 64904, 1.235414743423462, True
09SpannerStronglyCorrelated, n00100, R01000, s000.kp, 51656, 20956, 10.123539447784424, True
